id,bill_id,difficulty_level,title,summary,content,created_at,updated_at
4a516c4f-f022-423d-8169-79ecb11f00fa,43839582-5ba6-4346-a309-0a7800906a08,normal,令和元年度田川市一般会計補正予算（人件費分）,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-02）,"## 議案情報

- **議案番号**: 議案第59号
- **件名**: 令和元年度田川市一般会計補正予算（人件費分）
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-02

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z
b07bab5e-bab3-44ce-bb0d-28ff11ba63b3,10fc3118-9bdd-4a8a-a062-8fb7b405b133,normal,令和元年度田川市国民健康保険特別会計補正予算（人件費分）,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-02）,"## 議案情報

- **議案番号**: 議案第60号
- **件名**: 令和元年度田川市国民健康保険特別会計補正予算（人件費分）
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-02

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z
e7743f47-5ce0-44aa-97cd-589b61902f2d,83e24222-b203-44d9-bcc0-7641ff5a7783,normal,令和元年度田川市後期高齢者医療特別会計補正予算（人件費分）,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-02）,"## 議案情報

- **議案番号**: 議案第61号
- **件名**: 令和元年度田川市後期高齢者医療特別会計補正予算（人件費分）
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-02

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z
30ce961d-684b-4ded-9836-c6131d59280c,e10b0df1-0e91-42e1-997b-3089373e6159,normal,令和元年度田川市一般会計補正予算,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-19）,"## 議案情報

- **議案番号**: 議案第62号
- **件名**: 令和元年度田川市一般会計補正予算
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-19

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z
9784a5a8-72fa-44fc-96fa-2fddf3c8799e,eb692e8c-59ec-4a56-8557-072e0955314d,normal,令和元年度田川市国民健康保険特別会計補正予算,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-19）,"## 議案情報

- **議案番号**: 議案第63号
- **件名**: 令和元年度田川市国民健康保険特別会計補正予算
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-19

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z
587dbdb3-847d-4ba8-acc2-eaabbd239fe9,3570d53f-b6bc-44ea-920b-0a035bb24b68,normal,田川市職員の給与に関する条例等の一部改正について,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-02）,"## 議案情報

- **議案番号**: 議案第64号
- **件名**: 田川市職員の給与に関する条例等の一部改正について
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-02

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z
0e0a784c-b36a-4a68-9268-295a26c439cd,c10daaf1-a230-4906-8360-009e6322a7ba,normal,田川市議会議員の議員報酬及び費用弁償等に関する条例の一部改正について,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-02）,"## 議案情報

- **議案番号**: 議案第65号
- **件名**: 田川市議会議員の議員報酬及び費用弁償等に関する条例の一部改正について
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-02

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z
e8651e2a-7fdb-453c-bc71-33ad45357e63,b5b88346-7ac2-41d1-ac99-be78bc1ad286,normal,田川市特定教育・保育施設及び特定地域型保育事業の運営に関する基準を定める条例の一部改正について,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-19）,"## 議案情報

- **議案番号**: 議案第66号
- **件名**: 田川市特定教育・保育施設及び特定地域型保育事業の運営に関する基準を定める条例の一部改正について
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-19

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z
cd90b095-d837-4d48-ad97-385f9c6e8b61,983ca50c-d68a-4770-af43-253218dfc4e9,normal,田川市教育職員の給与等に関する条例の制定について,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-19）,"## 議案情報

- **議案番号**: 議案第67号
- **件名**: 田川市教育職員の給与等に関する条例の制定について
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-19

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z
53761b35-14e1-406d-8488-42f5d681c188,ec45f5c6-9bc6-4e5b-947f-65b4e0edb671,normal,過疎地域自立促進計画の変更について,令和元年（第5回）12月定例会に市長提出から提出され、原案可決となりました。（議決日: 2019-12-19）,"## 議案情報

- **議案番号**: 議案第68号
- **件名**: 過疎地域自立促進計画の変更について
- **提出者**: 市長提出
- **会期**: 令和元年（第5回）12月定例会（2019-12-02〜2019-12-19）
- **議決結果**: 原案可決
- **議決日**: 2019-12-19

## 出典

- [田川市議会「令和元年（第5回）12月定例会の提出議案と議決結果」](https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html)（福岡県田川市公式サイト）
- 議決結果は[田川市議会 会議録検索システム](https://www.kensakusystem.jp/tagawa/index.html)の本会議録から自動抽出したものです

※ この内容は田川市議会事務局が公開する情報を基に事実のみを転記したものです。分かりやすい解説文のAIによる生成は行っていません。",2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z
